"Notes"	"Census Region"	"Census Region Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	11	3307	Unreliable	166.0	595.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	17	4156	Unreliable	238.3	654.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	10	5462	Unreliable	87.8	336.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	13	37919	Unreliable	18.3	58.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	12	42405	Unreliable	14.6	49.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	14	49687	Unreliable	15.4	47.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	11	53312	Unreliable	10.3	36.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	14	60315	Unreliable	12.7	38.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	11	67104	Unreliable	8.2	29.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	15	71928	Unreliable	11.7	34.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	15	70938	Unreliable	11.8	34.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	16	70816	Unreliable	12.9	36.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"15-24 years"	"15-24"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	14	70080	Unreliable	10.9	33.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	12	34841	Unreliable	17.8	60.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	11	36332	Unreliable	15.1	54.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	13	39535	Unreliable	17.5	56.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	13	42221	Unreliable	16.4	52.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	13	45083	Unreliable	15.4	49.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	11	47897	Unreliable	11.5	41.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	12	50583	Unreliable	12.3	41.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	13	53642	Unreliable	12.9	41.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	14	56831	Unreliable	13.5	41.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	12	63927	Unreliable	9.7	32.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	17	67317	Unreliable	14.7	40.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	14	68314	Unreliable	11.2	34.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	11	69858	Unreliable	7.9	28.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	10	70433	Unreliable	6.8	26.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	11	70806	Unreliable	7.8	27.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	71978	Unreliable	14.8	39.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	22	71978	30.6	19.2	46.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	73685	Unreliable	6.5	25.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"25-34 years"	"25-34"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	13	73685	Unreliable	9.4	30.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	15	35650	Unreliable	23.5	69.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	19	37757	Unreliable	30.3	78.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	33	40420	81.6	56.2	114.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	16	42581	Unreliable	21.5	61.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	36	44647	80.6	56.5	111.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	23	46606	49.3	31.3	74.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	29	48735	59.5	39.9	85.5	0.0%
